fecha_pago;fecha_vencimiento;monto_pago;monto_total;agencia;num_operacion_bcp;hora_atencion;cargo_fijo;num_documento_pago;num_operacion_bd;filler;fechaProceso
20240321;20240323;60726;60926;111017;942859;194229;200;113020841;11942859;262274;20240402
20240321;20240321;58877;59077;111017;831517;140121;200;108004398;7831517;67710;20240402
20240321;20240322;59601;59801;111017;710;100036;200;114020687;7000710;921342;20240402
20240321;20240320;57372;57572;111023;473138;70502;200;209001012;6473138;116955;20240402
20240321;20240322;53408;53608;111023;459729;120547;200;115015433;7459729;402437;20240402
20240321;20240321;146971;147171;111023;954675;194601;200;307001727;11954675;2705176;20240402
20240321;20240210;38462;38662;111023;634185;125755;200;124000785;7634185;1246790;20240402
20240321;20240321;49174;49374;111017;101589;102551;200;109014784;7101589;941448;20240402
20240321;20240320;22534;22734;111023;414366;115223;200;125001643;7414366;376221;20240402
20240321;20240316;128985;129185;111023;95070;203317;200;106003903;12095070;2870560;20240402
20240321;20240322;31762;31962;111017;816971;190245;200;205001516;11816971;245039;20240402
20240321;20240325;93161;93361;111017;996135;95927;200;124002505;6996135;920444;20240402
20240321;20240322;30442;30642;111023;796626;90714;200;114019353;6796626;404900;20240402
20240321;20240321;35111;35311;111017;312136;112253;200;210000765;7312136;984053;20240402
20240321;20240321;36322;36522;111023;750145;133445;200;112016218;7750145;1378423;20240402
20240321;20240321;22225;22425;111023;843503;191125;200;108005353;11843503;888666;20240402
20240321;20240320;38871;39071;111023;497888;172554;200;307002158;8497888;774010;20240402
20240321;20240323;39021;39221;111023;699138;83803;200;115015514;6699138;127212;20240402
20240321;20240319;54825;55025;111023;973893;144912;200;109014747;7973893;566735;20240402
20240321;20240322;25816;26016;111023;360107;54038;200;204002975;6360107;4831;20240402
20240321;20240321;229721;229921;191010;527712;173451;200;117003104;8527712;699295;20240402
20240321;20240403;82171;82371;111017;169812;104315;200;303000520;7169812;954711;20240402
20240321;20240322;22014;22214;111023;745040;184024;200;306004769;8745040;842665;20240402
20240321;20240316;24626;24826;111023;229873;126;200;108004724;6229873;1091808;20240402
20240321;20240321;169370;169570;111023;400187;170022;200;116003999;8400187;734236;20240402
20240321;20240321;44146;44346;111023;714043;84244;200;112015107;6714043;343095;20240402
20240321;20240318;45533;45733;111023;31373;213326;200;109016713;9031373;3046424;20240402
20240321;20240402;38964;39164;111023;104730;153145;200;110019911;8104730;640083;20240402
20240321;20240322;42591;42791;111023;383187;114322;200;105023618;7383187;357721;20240402
20240321;20240322;73549;73749;111023;864709;141225;200;112015806;7864709;537427;20240402
20240321;20240318;240081;240281;111023;990177;195700;200;205000071;11990177;2776183;20240402
20240321;20240325;228016;228216;194019;146460;154451;200;124001202;8146460;479393;20240402
20240321;20240325;30797;30997;111023;631374;81514;200;111015201;6631374;242361;20240402
20240321;20240323;33689;33889;111023;803674;90908;200;103023793;6803674;168433;20240402
20240321;20240323;42379;42579;111023;706198;132017;200;121015898;7706198;1344871;20240402
20240321;20240322;39446;39646;111023;740772;85100;200;110021413;6740772;142618;20240402
20240321;20240320;227600;227800;111023;355031;164736;200;124000657;8355031;2053359;20240402
20240321;20240306;76324;76524;111017;885282;192519;200;108003509;11885282;255634;20240402
20240321;20240325;45271;45471;111023;112733;204020;200;112016916;12112733;2887444;20240402
20240321;20240321;29438;29638;111017;624921;125504;200;115015881;7624921;40269;20240402
20240321;20240323;24028;24228;111023;99580;221854;200;303002780;9099580;1049863;20240402
20240321;20240325;25918;26118;111017;470180;120855;200;304005591;7470180;14221;20240402
20240321;20240321;236535;236735;111023;711643;183000;200;126001527;8711643;2442986;20240402
20240321;20240319;18281;18481;111023;988299;195625;200;106004535;11988299;937518;20240402
20240321;20240323;40690;40890;111023;130323;153947;200;125001240;8130323;1772887;20240402
20240321;20240321;45101;45301;111023;51706;214512;200;102017093;9051706;1037360;20240402
20240321;20240320;42239;42439;111023;705793;182812;200;120015698;8705793;828900;20240402
20240321;20240321;89249;89449;111023;417129;170436;200;104016149;8417129;2090732;20240402
20240321;20240316;46242;46442;111023;319693;112503;200;103022017;7319693;358081;20240402
20240321;20240402;22838;23038;111023;481533;70939;200;304005176;6481533;39819;20240402
20240321;20240322;39688;39888;111023;128876;153920;200;102016000;8128876;1800647;20240402
20240321;20240406;49511;49711;111023;711628;84200;200;111014802;6711628;153156;20240402
20240321;20240321;39122;39322;111023;876455;92847;200;303002771;6876455;200252;20240402
20240321;20240325;59413;59613;111023;922217;143152;200;121016473;7922217;1535759;20240402
20240321;20240322;31113;31313;111023;796748;135009;200;102016016;7796748;497718;20240402
20240321;20240309;34014;34214;111023;405466;114947;200;109014433;7405466;367904;20240402
20240321;20240321;24243;24443;111023;575149;174852;200;123005051;8575149;786323;20240402
20240321;20240411;275268;275468;111023;919476;193537;200;122003152;11919476;2675377;20240402
20240321;20240319;17710;17910;111017;254732;161824;200;307001940;8254732;133510;20240402
20240321;20240321;30570;30770;111023;547957;123154;200;105020940;7547957;412704;20240402
20240321;20240321;25724;25924;111023;330825;164033;200;111014294;8330825;698549;20240402
20240321;20240318;34569;34769;111017;896181;192856;200;106004316;11896181;257110;20240402
20240321;20240323;24607;24807;111017;598493;175551;200;108005325;8598493;202686;20240402
20240321;20240322;30725;30925;111023;359742;164849;200;110022317;8359742;706773;20240402
20240321;20240318;123932;124132;111017;16130;200523;200;123003613;12016130;269440;20240402
20240321;20240321;37662;37862;111017;765642;184648;200;112015793;8765642;235948;20240402
20240321;20240322;51329;51529;111017;85557;220823;200;102015998;9085557;282780;20240402
20240321;20240319;60507;60707;111023;522470;73028;200;109014752;6522470;155442;20240402
20240321;20240321;70994;71194;111023;927927;94212;200;303000965;6927927;200784;20240402
20240321;20240325;32903;33103;111023;56395;214810;200;121016000;9056395;1026723;20240402
20240321;20240320;31735;31935;111017;593928;80129;200;202000511;6593928;853655;20240402
20240321;20240323;28996;29196;111023;389370;114512;200;115014488;7389370;371648;20240402
20240321;20240320;14137;14337;111017;695366;131647;200;202000828;7695366;50944;20240402
20240321;20240323;46919;47119;111017;18275;150349;200;105021281;8018275;92278;20240402
20240321;20240325;30938;31138;111023;158020;210115;200;105021324;12158020;1018174;20240402
20240321;20240322;49542;49742;111023;71598;101823;200;110020766;7071598;255433;20240402
20240321;20240319;249619;249819;111023;81144;152417;200;208000356;8081144;1748104;20240402
20240321;20240319;58584;58784;111017;18375;150351;200;114019896;8018375;92293;20240402
20240321;20240319;33195;33395;111017;671635;130922;200;108004554;7671635;47483;20240402
20240321;20240319;235306;235506;194022;161283;104100;200;124001338;7161283;945139;20240402
20240321;20240323;30622;30822;111023;978276;95456;200;118021039;6978276;226391;20240402
20240321;20240320;16812;17012;111017;949934;144116;200;107004685;7949934;82316;20240402
20240321;20240325;31797;31997;111023;166227;155057;200;111015196;8166227;1832335;20240402
20240321;20240321;45101;45301;111023;905235;142610;200;102017094;7905235;537902;20240402
20240321;20240322;36871;37071;111023;24568;212943;200;124001074;9024568;1016897;20240402
20240321;20240321;33503;33703;111023;443927;171132;200;305001501;8443927;738669;20240402
20240321;20240322;45510;45710;111023;2106;211741;200;114018541;9002106;1002842;20240402
20240321;20240320;43395;43595;111023;1623;100050;200;110019546;7001623;229654;20240402
20240321;20240323;48042;48242;111023;653250;181216;200;115015535;8653250;2366387;20240402
20240321;20240321;60116;60316;111023;833338;190803;200;102015970;11833338;879683;20240402
20240321;20240321;29456;29656;111017;718662;183212;200;115015416;8718662;226648;20240402
20240321;20240320;11906;12106;111017;147690;103729;200;307002399;7147690;950467;20240402
20240321;20240321;30740;30940;111023;51910;151451;200;204003446;8051910;597582;20240402
20240321;20240316;41978;42178;111023;923514;94104;200;110017947;6923514;208765;20240402
20240321;20240322;22118;22318;111017;652537;130330;200;306004119;7652537;44553;20240402
20240321;20240323;30852;31052;111023;291767;162909;200;120015803;8291767;689255;20240402
20240321;20240325;22356;22556;475006;374437;114048;200;307002453;7374437;61553;20240402
20240321;20240320;35276;35476;111017;948100;144040;200;203000202;7948100;82030;20240402
20240321;20240418;274199;274399;191030;422547;115449;200;107003584;7422547;89475;20240402
